name,default_code,type,categ_id,lst_price,standard_price,qty_available,description,barcode,uom_id,uom_po_id,active,volume,weight,sale_ok,purchase_ok,create_date,write_date
"T200 Nose Cone, PC10GF, Black",BR-100012,product,All / Raw Materials,1.0,0.26,2324.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-12-21 17:28:45,2024-08-20 20:15:12
"BROV2 Topside Spare Components Packed Assembly, Bagged ",BR-100013,product,All / Finished Packed Goods,24.000000000000004,3.4049700000000005,50.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2018-07-09 19:43:43,2024-09-10 16:40:30
"Cord, PTFE, 1.2mm OD",BR-100014,product,All / Raw Materials,1.0,3.7041700000000004,23.525000000000002,False,False,m,m,True,0.0,0.0,False,True,2019-08-01 21:38:17,2024-09-19 20:44:57
"Newton Mounting Hole Drill Template, Printed Paper",BR-100015,consu,All / Consumables,0.0,0.01,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"BROV2 Heavy Ballast Screws Packed Assembly, Bagged, 3pcs",BR-100016,product,All / Finished Packed Goods,1.0,0.30337000000000003,49.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,False,2022-04-05 20:19:19,2024-08-20 20:15:12
"Ping360 Custom Header Pin, 1x12, M, 4UCON 21126",BR-100017,product,All / Raw Materials,1.0,0.03622,90.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2019-05-16 20:58:23,2024-09-19 20:44:57
"Desiccant Packet Packed Assembly, Jar ",BR-100019,product,All / Finished Packed Goods,1.0,3.2600000000000002,39.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2018-12-11 20:48:53,2024-08-20 20:15:12
Test,BR-10001TEST,product,All,1.0,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2024-09-09 21:23:30,2024-09-09 21:23:53
"Lithium-Ion Battery, 6S, 28Ah, Dropship Inventory",BR-100021,product,All / Finished Packed Goods,1.0,343.70000000000005,22.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2022-09-27 20:30:17,2024-08-20 20:16:32
"Fathom-X Single Packed Assembly, Static Bagged",BR-100023,product,All / Finished Packed Goods,79.0,40.12552,12.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2018-07-09 19:43:43,2024-08-20 20:15:12
"BROV2 Payload Skid Standoff, AL6061-T6, Black, 319mm ",BR-100025,product,All / Raw Materials,3.7500000000000004,1.7050900000000002,87.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-29 22:38:51
"TMS Frame Foot, AL6061-T6, Black, 395mm",BR-100026,product,All / Raw Materials,22.000000000000004,5.76161,293.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
TMS Spool Slip Ring Guard ,BR-100027,product,All / Raw Materials,1.0,7.300000000000001,267.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2022-01-17 20:31:17,2024-08-29 22:38:51
"Cable, USB-A to 4-pos JST-GH",BR-100028,product,All / Raw Materials,2.5,0.67,313.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2019-05-25 16:58:12,2024-08-20 20:15:12
"Header Pin Housing, 0.1"" pitch, 3-pos",BR-100030,product,All / Raw Materials,0.0,0.00753,1504.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"WLP Bulkhead, AL7075-T6, Black, M10, 4.5mm",BR-100031,product,All / Raw Materials,1.0,1.1479700000000002,2995.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-08-02 18:58:08,2024-08-20 20:15:12
"WTE 4"" End Cap, AL6061-T6, Black, 10 Hole",BR-100032,product,All / Raw Materials,1.0,8.51272,141.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2022-10-12 18:46:45,2024-08-20 20:15:12
"TMS Slip Ring Flange Cap, AL6061-T6, Blue ",BR-100034,product,All / Raw Materials,6.250000000000001,1.58,220.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-29 22:38:51
"Barrier Block Jumper, 0.375"" Pitch, 8-pos",BR-100036,product,All / Raw Materials,6.000000000000001,1.8706000000000003,63.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Vacuum Pump, Mityvac MV8255, White ",BR-100040,product,All / Raw Materials,20.0,59.99,144.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2020-10-28 15:58:59,2024-08-20 20:15:12
"T200 Propeller Set Packed Assembly, Bagged, Blue",BR-100042-001,product,All / Finished Packed Goods,1.0,1.06499,16.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2019-08-26 23:28:00,2024-08-20 20:15:12
"T200 Propeller Set Packed Assembly, Bagged, Black",BR-100042-002,product,All / Finished Packed Goods,1.0,2.06366,26.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2019-08-26 20:22:40,2024-08-20 20:15:12
"T200 Propeller Set Packed Assembly, Bagged, Orange",BR-100042-003,product,All / Finished Packed Goods,1.0,2.0983300000000003,55.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2019-08-26 23:25:51,2024-08-20 20:15:12
"T200 Propeller Set Packed Assembly, Bagged, Yellow",BR-100042-004,product,All / Finished Packed Goods,1.0,2.1436200000000003,51.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2019-08-26 23:30:38,2024-08-20 20:15:12
"Rubber Strip, Adhesive-Back, NBR 50A, 1"" Wide, 1/16"" Thick",BR-100043,consu,All / Consumables,0.5,0.14720000000000003,0.0,False,False,inch(es),inch(es),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"BROV2 Buoyancy Foam Fairing, ABS, Blue",BR-100044,product,All / Raw Materials,5.25,10.90764,500.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Square Nut, 12.7x12.7x4, M5x0.8",BR-100045,product,All / Raw Materials,2.0,0.38287000000000004,3059.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2018-07-09 19:43:43,2024-09-10 16:40:59
"Ping360 Head Bar, AL6061-T6, Blue",BR-100046,product,All / Raw Materials,1.0,2.00035,86.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-08-23 20:49:52,2024-09-19 20:44:57
"WLP Plug, AL7075-T6, Black, 14mm Hex, 8.5mm, LC",BR-100047,product,All / Raw Materials,1.0,0.7400000000000001,357.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-10-20 21:41:04,2024-08-20 20:15:12
"WTE 3"" End Cap, Acrylic, Clear",BR-100048,product,All / Raw Materials,17.5,4.51428,45.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Ping360 Parts Packed Assembly, Bagged",BR-100050,product,All / Finished Manufactured Goods,1.0,3.26176,34.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,False,2022-02-14 21:32:26,2024-09-19 20:44:57
"Lumen PCBA Packed Assembly, Static Bagged",BR-100051,product,All / Finished Packed Goods,49.00000000000001,19.351640000000003,40.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2019-03-14 18:27:18,2024-08-21 17:42:37
"Thruster Commander Case, AL606-T6, Blue",BR-100052,product,All / Raw Materials,10.5,3.29651,74.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Header Pin, Crimp, 22-28 AWG, M",BR-100054,product,All / Raw Materials,0.0,0.01581,5813.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Header Pin Housing, 0.1"" pitch, 1-pos",BR-100055,product,All / Raw Materials,0.0,0.0039000000000000003,857.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"WLP Bulkhead, AL7075-T6, Black, M10, 7.5mm",BR-100057,product,All / Raw Materials,1.0,1.32549,671.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-10-19 22:22:11,2024-08-20 20:15:12
Ping360 Bottom Label,BR-100058,product,All / Raw Materials,1.0,2.99533,417.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2019-06-04 14:34:25,2024-09-19 20:44:57
"BROV2 Battery Enclosure Packed Assembly, Boxed, Aluminum",BR-100059-001,product,All / Finished Manufactured Goods,1.0,111.15852000000001,30.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,False,2022-02-20 17:14:44,2024-09-19 20:30:20
"BROV2 Battery Enclosure Packed Assembly, Boxed, Acrylic",BR-100059-002,product,All / Finished Manufactured Goods,1.0,84.59282,36.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,False,2022-02-20 17:11:31,2024-08-20 20:15:12
Level Converter PCBA,BR-100060,product,All / Raw Materials,20.0,10.7705,60.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-09-04 18:41:44
"WTE 4"" End Cap Packed Assembly, Bubble Bagged, Acrylic, Clear",BR-100061,product,All / Finished Packed Goods,1.0,7.4492400000000005,27.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2018-07-09 19:43:43,2024-08-20 20:15:12
"WLP Plug, AL7075-T6, Black, 14mm Hex, 7.5mm, LC",BR-100062,product,All / Raw Materials,1.0,0.79542,446.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-10-20 21:32:53,2024-08-20 20:15:12
"Flat Head Screw, Phillips, SS316, M3x0.5 - 10",BR-100063,product,All / Raw Materials,0.0,0.025,1696.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-09-04 19:21:57
"Header Connector, PTH PCB Mount, 0.1"" Pitch, 6-pos, F",BR-100064,product,All / Raw Materials,0.25,0.039420000000000004,551.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Packing Box, 16""x16""x3"", Cardboard",BR-100065,product,All / Consumables,5.25,1.09,98.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-31 16:49:41,2024-08-20 20:15:12
"WTE 4"" End Cap Packed Assembly, AL6061-T6, Black, 10 Hole",BR-100066,product,All / Finished Packed Goods,1.0,8.039800000000001,37.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2022-10-12 21:14:09,2024-08-20 20:15:12
"BROV2 Frame Side Panel, HDPE, Black ",BR-100069,product,All / Raw Materials,1.0,25.852570000000004,90.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2022-01-05 20:00:10,2024-08-20 20:15:12
"BROV2 Rear Horizontal Frame Panel, HDPE, Black",BR-100070,product,All / Raw Materials,1.0,10.788070000000001,343.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2022-01-05 19:55:19,2024-09-10 16:40:59
"Double Sided Tape, 13mm Wide, 3M RP45",BR-100072,consu,All / Consumables,0.0,0.07367,0.0,False,False,inch(es),inch(es),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Double Sided Tape, 24.4mm Wide, 3M 5952",BR-100073,consu,All / Consumables,62.00000000000001,0.055290000000000006,0.0,False,False,inch(es),inch(es),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Button Head Screw, Hex Drive, SS316, M5x0.8 - 12",BR-100074,product,All / Raw Materials,0.5,0.05,4579.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-09-04 19:20:10
"TMS Large Spool Cable Clip Screws Packed Assembly, Bagged ",BR-100075,product,All / Raw Materials,1.0,1.14659,31.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,False,2021-01-27 23:14:02,2024-08-20 20:15:12
"Button Head Screw, Phillips, Thread Forming, SS316, #4 - 0.75""",BR-100076,product,All / Raw Materials,0.0,0.02604,4908.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-09-10 16:32:55
Fathom-X PCBA,BR-100077,product,All / Raw Materials,51.25000000000001,21.35527,785.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-09-10 16:41:10
"Thermal Interface Material, 10x10x2mm, TG-A3500-10-10-2.0",BR-100078,product,All / Raw Materials,1.0,0.07,596.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2022-02-17 21:19:45,2024-08-20 20:15:12
"WL Bulkhead Wrench, 40CR, Chrome, M14",BR-100079,product,All / Raw Materials,1.0,6.1000000000000005,193.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2022-01-04 00:16:50,2024-08-20 20:15:12
FXTI Enclosure Extrusion Light Pipe ,BR-100080,product,All / Raw Materials,1.5000000000000002,0.30600000000000005,274.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"WTE 2"" Tube O-ring Set Packed Assembly, Bubble Bagged",BR-100085,product,All / Finished Packed Goods,2.0,0.40109000000000006,43.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2019-10-17 00:43:43,2024-08-20 20:15:12
"TMS Standard Flange Arm Core Screws Packed Assembly, Bagged ",BR-100086,product,All / Raw Materials,1.0,1.0186000000000002,40.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,False,2021-01-27 22:52:03,2024-08-20 20:15:12
"Level Converter Packed Assembly, Bagged",BR-100087,product,All / Finished Packed Goods,14.000000000000002,18.494670000000003,44.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2018-07-09 19:43:43,2024-09-19 21:08:46
Servo HS-5055MG,BR-100088,product,All / Raw Materials,1.0,21.403930000000003,460.0,<p>See HITEC COMMERCIAL SOLUTIONS LLC Vendor page for ordering instructions</p>,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"PRV M10 Backfill Adapter, AL6061-T6, Red",BR-100092,product,All / Raw Materials,1.0,1.7000000000000002,94.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-12-23 18:13:48,2024-08-20 20:15:12
"T500 Stator, Epoxy Overmolded",BR-100093,product,All / Raw Materials,1.0,33.28135,311.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2019-10-04 22:04:24,2024-09-19 20:13:21
"WTE 2"" End Cap Packed Assembly, Bubble Bagged, Acrylic, Clear ",BR-100094,product,All / Finished Packed Goods,12.000000000000002,3.16087,39.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2019-10-17 20:03:52,2024-08-20 20:15:12
"Packing Box, 5""x5""x18"", Cardboard",BR-100095,product,All / Raw Materials,6.750000000000001,2.5421600000000004,80.0,False,S-11345,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Heat Shrink Tubing, Bulk, Polyolefin, Single Wall, 2:1, 0.06"" ID, Black",BR-100096,product,All / Raw Materials,1.0,0.06521,667.8000000000001,False,False,inch(es),inch(es),True,0.0,0.0,False,True,2019-08-06 16:14:40,2024-09-19 20:44:57
"Ping360 Cable Packed Assembly, Bagged",BR-100097,product,All / Finished Manufactured Goods,1.0,9.68815,17.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2022-02-14 23:57:43,2024-08-20 20:15:12
"WLP Seal, FKM 75A, Blue, 6.5mm",BR-100098,product,All / Raw Materials,1.0,0.2,5748.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-03-24 06:31:32,2024-09-19 20:15:14
"Buoyancy Foam, R-3318, Machined for BlueROV2 Fairings",BR-100099,product,All / Finished Packed Goods,1.0,22.830000000000002,49.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2018-07-24 14:51:33,2024-08-20 20:15:12
"EOL-Sticker for ""WLP Packed Assembly, Boxed, M06, 4.5mm, LC, 5pcs""",BR-100101,product,All / Raw Materials,1.0,0.32,274.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-10-21 22:35:13,2024-08-20 20:15:12
"BROV2 Fairing Screws Packed Assembly, Bagged, 16pcs",BR-100103,product,All / Raw Materials,2.7500000000000004,0.48798,99.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,False,2018-07-09 19:43:43,2024-09-10 16:32:55
"BROV2 Inventory of ""PRV M10 Packed Assembly, Bagged""",BR-100104,product,All / Finished Manufactured Goods,1.0,7.56282,210.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,False,2022-01-04 19:10:13,2024-08-20 20:15:12
"Vent M10 Plug Packed Assembly, Bagged ",BR-100105,product,All / Finished Packed Goods,1.0,1.0560500000000002,32.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2022-01-04 19:02:51,2024-08-20 20:15:12
"Clear Zip Bag, 2""x3""",BR-100106-002,consu,All / Consumables,0.0,0.018500000000000003,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-09-10 16:43:47
"Clear Zip Bag, 3""x3""",BR-100106-003,consu,All / Consumables,1.0,0.0217,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-09-26 21:19:05,2024-08-20 20:15:12
"Clear Zip Bag, 3""x5""",BR-100106-004,consu,All / Consumables,0.0,0.0308,897.6,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Clear Zip Bag, 4""x6""",BR-100106-005,consu,All / Consumables,0.25,0.041400000000000006,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Clear Zip Bag, 6""x9""",BR-100106-006,consu,All / Consumables,0.25,0.08670000000000001,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Clear Zip Bag, 8""x10""",BR-100106-007,consu,All / Consumables,0.25,0.1039,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-09-17 16:40:03,2024-08-20 20:15:12
"Clear Zip Bag, 9""x12""",BR-100106-008,consu,All / Consumables,0.25,0.10540000000000001,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-09-17 16:37:37,2024-08-20 20:15:12
"Clear Zip Bag, 10""x18""",BR-100106-009,product,All / Raw Materials,1.0,0.262,466.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2023-05-10 14:31:02,2024-08-20 20:15:12
"Clear Zip Bag, 6""x15""",BR-100106-010,product,All / Raw Materials,1.0,0.14273000000000002,797.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2023-09-18 20:51:46,2024-08-20 20:15:12
"T500 Shaft Collar, SS316, M5x0.8 Threaded Hole",BR-100108,product,All / Raw Materials,1.0,0.35000000000000003,644.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2022-03-23 19:10:17,2024-09-19 20:13:21
"Jumper, 2-pos, 0.1"" Pitch, Header",BR-100110,product,All / Raw Materials,0.25,0.12908,110.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Cable, 4x 28 AWG, 6-pos JST-GH, 0.1"" Header F",BR-100112,product,All / Raw Materials,1.0,0.77,262.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2023-04-03 20:37:09,2024-08-20 20:15:12
"WLP Bulkhead, AL7075-T6, Black, M06, 4.5mm",BR-100115,product,All / Raw Materials,1.0,0.8731000000000001,2965.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-07-30 22:18:01,2024-08-20 20:15:12
"Newton Shaft Coupling, SS303",BR-100116,product,All / Raw Materials,4.25,1.7752200000000002,94.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"EOL-Sticker For ""WLP Packed Assembly, Boxed, M10, 4.5mm, LC, 5pcs""",BR-100117,product,All / Raw Materials,1.0,0.32,142.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-10-21 22:25:05,2024-08-20 20:15:12
"Ping2 Head Backing Plate, SS 316",BR-100118,product,All / Raw Materials,1.0,5.05198,183.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2023-04-03 17:40:23,2024-08-20 20:15:12
"EOL-Sticker For ""WLP Packed Assembly, Boxed, M14, 9.5mm, HC, 4pcs""",BR-100121,product,All / Raw Materials,1.0,0.32568,162.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-12-23 19:53:02,2024-09-10 16:36:36
"WLP Seal, FKM 75A, Green, 4.5mm",BR-100122,product,All / Raw Materials,1.0,0.2,3562.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-08-02 19:55:11,2024-08-20 20:15:12
"Ping2 Mount, AL5052-H32, Black",BR-100123,product,All / Raw Materials,1.0,3.22467,164.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2023-04-03 17:32:28,2024-08-20 20:15:12
Celsius PCBA,BR-100124,product,All / Raw Materials,20.75,8.150300000000001,76.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"USB Camera Packed Assembly, Static Bagged ",BR-100126,product,All / Finished Packed Goods,89.00000000000001,41.771260000000005,67.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,False,2018-07-09 19:43:43,2024-08-20 20:15:12
"Thruster Commander, Quick Start Guide",BR-100127,product,All / Raw Materials,0.7500000000000001,0.11438000000000001,456.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"WTE 2"" Flange Seal, AL6061-T6, Black",BR-100129,product,All / Raw Materials,1.0,7.000000000000001,171.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2020-11-10 20:36:53,2024-08-20 20:15:12
"Spacer, Unthreaded, PA6/6, 4.5mm OD, 3.2mm ID, 7mm Tall",BR-100132,product,All / Raw Materials,1.0,1.8142500000000001,80.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2019-05-16 21:11:25,2024-09-19 20:44:57
"Packing Box, 4""x4""x12"", Cardboard",BR-100133,product,All / Raw Materials,1.0,0.9072800000000001,40.0,False,S-4481,Unit(s),Unit(s),True,0.0,0.0,False,True,2022-08-12 18:32:17,2024-08-20 20:15:12
